White Win %,Black Win %,Moves,Number of moves
41.00%,37.10%,1.d4 Nf6 2.Bg5 Ne4 3.Bh4,3
40.60%,33.50%,1.d4 Nf6 2.Bg5,2
47.40%,35.80%,1.d4 Nf6 2.Bg5 c5 3.d5 Qb6 4.Nc3,4
42.90%,32.10%,1.d4 Nf6 2.Bg5 Ne4 3.h4,3
44.40%,40.70%,1.Nc3 e5 2.a3,2
39.80%,36.10%,1.Nc3,1
57.20%,19.90%,1.Nc3 e5 2.Nf3 Nc6 3.d4,3
32.90%,39.30%,1.Nc3 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4,4
35.60%,45.90%,1.e3,1
49.50%,31.80%,1.e4 e5 2.Nc3,2
39.00%,33.90%,1.e4 e5 2.Nc3 Nf6 3.a3,3
41.10%,30.10%,1.e4 e5 2.Nc3 Nf6 3.g3,3
54.60%,29.20%,1.e4 e5 2.Nc3 d6 3.f4,3
44.00%,30.20%,1.e4 e5 2.Nc3 Nc6 3.g3,3
47.10%,37.70%,1.e4 e5 2.Nc3 Nf6 3.Bc4,3
31.50%,26.10%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Qh5 Nd6 5.Bb3 Be7 6.Nf3 Nc6 7.Nxe5,7
54.50%,29.50%,1.e4 e5 2.Nc3 Nc6 3.f4,3
66.10%,20.00%,1.e4 e5 2.Nc3 Nf6 3.f4,3
47.80%,23.40%,1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.Nf3 Bg4 6.Qe2,6
34.20%,40.30%,1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.d3,5
44.70%,32.80%,1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.Qf3,5
47.50%,33.90%,1.e4 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3,4
50.90%,34.50%,1.a4,1
40.70%,35.20%,1.Nf3 Nf6 2.b3 g6 3.Bb2 Bg7 4.g3 O-O 5.Bg2 d6 6.O-O,6
47.70%,20.30%,1.Nf3 c5 2.g3 d5 3.Bg2 Nc6 4.d4 e6 5.O-O,5
59.20%,21.70%,1.Nf3 f5 2.d3 Nf6 3.e4,3
41.90%,34.40%,1.Nf3 f5 2.e4,2
39.60%,32.40%,1.Nf3 Nf6 2.b3,2
37.80%,40.80%,1.Nf3 d5 2.d3,2
40.20%,33.60%,1.Nf3 Nf6 2.e3,2
37.00%,43.40%,1.Nf3 d5 2.Nc3,2
33.90%,39.70%,1.Nf3 d5 2.b4,2
38.10%,44.80%,1.Nf3 d5 2.e4,2
44.40%,22.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6,8
41.20%,25.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Na5 10.Bc2 c5,10
39.90%,24.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Bb7,9
31.40%,31.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 a5,9
36.80%,27.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Na5 10.Bc2 c5 11.d4 Nd7,11
37.50%,23.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Nd7,9
37.90%,18.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Be6,9
36.30%,23.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 h6,9
40.50%,17.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Re8 10.d4 Bb7 11.Nbd2 Bf8 12.a3 h6,12
46.40%,25.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 Bb7,7
39.50%,30.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Qe2 b5 7.Bb3 O-O,7
46.40%,25.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Qe2 b5 7.Bb3 d6,7
30.70%,20.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Re8,9
42.50%,33.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7,3
51.50%,22.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7 4.Nc3 g6,4
40.30%,25.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O Bg4 6.h3 h5,6
31.40%,25.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.d4 exd4 6.Qxd4 Qxd4 7.Nxd4 Bd6,7
31.40%,34.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O Qd6,5
33.40%,25.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O f6,5
40.10%,28.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O Bd6,5
54.40%,28.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 bxc6,4
36.10%,33.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5 g6,3
35.90%,32.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5,8
31.40%,34.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 Nxd5 10.Nxe5 Nxe5 11.Rxe5 c6 12.d4 Bd6 13.Re1 Qh4 14.g3 Qh3,14
33.90%,24.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 Nxd5 10.Nxe5 Nxe5 11.Rxe5 c6,11
37.80%,44.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 Nxd5 10.Nxe5 Nxe5 11.Rxe5 Nf6,11
46.00%,38.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 e4,9
54.90%,21.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O b5 6.Bb3 d6,6
37.90%,30.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O b5 6.Bb3 Bb7,6
30.80%,35.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Nb8,9
36.10%,26.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Nb8 10.d4 Nbd7,10
59.70%,23.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5,4
49.00%,31.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bc5,4
33.80%,38.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nge7,4
38.10%,36.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 g6,4
64.80%,21.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5 5.Bb3 Bc5,5
40.90%,26.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3 Bd7 6.d4 Nge7,6
35.50%,32.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.Bxc6+ bxc6 6.d4 f6,6
39.60%,28.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3 Bd7,5
32.90%,40.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6,4
36.30%,25.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3 Bd7 6.d4 g6,6
33.90%,42.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3 f5,5
39.70%,28.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Bc5,5
41.40%,33.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5 5.Bb3 Na5,5
40.70%,34.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 f5,4
47.30%,25.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O d6,5
40.30%,30.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Nc5,9
39.00%,25.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Be7,9
32.20%,37.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Bc5 10.Nbd2 O-O 11.Bc2 Nxf2,11
35.40%,30.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Bc5,9
40.00%,24.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6,8
32.80%,34.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4,5
43.10%,29.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 exd4,6
42.70%,34.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5,3
46.20%,27.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3 fxe4 5.Nxe4 d5 6.Nxe5 dxe4 7.Nxc6 Qg5,7
42.10%,24.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3 fxe4 5.Nxe4 d5 6.Nxe5 dxe4 7.Nxc6 Qd5,7
43.10%,23.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3 fxe4 5.Nxe4 Nf6,5
61.20%,21.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6,3
44.80%,39.60%,1.e4 a6,1
51.30%,28.80%,1.e4 a6 2.d4 e6 3.Nf3 b5 4.Bd3 c5 5.c3 Bb7 6.O-O Nf6,6
51.70%,31.40%,1.e4 a6 2.d4 b5 3.Nf3 Bb7 4.Bd3 e6,4
43.60%,20.60%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O,8
42.20%,22.70%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5 c4,9
44.20%,29.30%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.dxc5 d4,9
49.10%,13.20%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5 Be6,9
44.40%,18.10%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5 cxd4 10.Nxd4 h6 11.Be3 Re8,11
46.10%,18.80%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5 cxd4 10.Nxd4 Re8,10
42.10%,18.90%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5 cxd4 10.Nxd4 h6 11.Be3 Bg4,11
35.50%,37.50%,1.d4 d5 2.c4 e6 3.Nc3 c5,3
42.50%,25.90%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6,6
44.70%,22.10%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7,7
43.20%,33.40%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 cxd4,4
40.50%,26.40%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 c4,6
35.00%,27.80%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.e3 Nf6 5.Nf3 Nc6,5
44.80%,25.00%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Bg4,7
37.70%,38.00%,1.e4 e5 2.Nf3 Nc6 3.Nc3 g6,3
29.10%,40.90%,1.d4 Nf6 2.Nf3 e6 3.Bg5 h6,3
32.90%,27.00%,1.d4 Nf6 2.Nf3 g6 3.Bg5 Bg7 4.Nbd2 c5,4
62.50%,25.70%,1.d4 Nf6 2.Bg5 Ne4 3.Bf4 g5,3
40.60%,31.70%,1.d4 Nf6 2.Bg5 e6,2
32.20%,46.40%,1.Nc3 d5 2.e4 c6,2
49.70%,24.30%,1.Nc3 d5 2.e4 dxe4 3.Nxe4 e5,3
42.40%,34.80%,1.Nc3 e5,1
45.30%,32.60%,1.e4 e5 2.Nc3 Bc5,2
43.10%,37.40%,1.e4 e5 2.Nc3 Nf6,2
43.70%,40.40%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Qh5 Nd6 5.Bb3 Nc6 6.Nb5 g6 7.Qf3 f5 8.Qd5 Qe7 9.Nxc7+ Kd8 10.Nxa8 b6,10
32.20%,39.50%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4,3
45.80%,35.70%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Qh5 Nd6 5.Bb3 Be7,5
36.90%,37.60%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Bb4,3
42.50%,39.70%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nc6,3
42.00%,40.00%,1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.Qf3 f5,5
33.80%,36.40%,1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.Nf3 Be7,5
36.70%,40.10%,1.e4 e5 2.Nc3 Nf6 3.f4 d5,3
36.90%,30.30%,1.d4 d6 2.Nf3 Bg4,2
45.80%,37.50%,1.Nf3 h6,1
49.50%,30.30%,1.Nf3 Nc6,1
43.60%,29.00%,1.Nf3 f5,1
36.40%,35.80%,1.Nf3 g6,1
41.10%,34.10%,1.Nf3 d6,1
38.50%,35.50%,1.Nf3 b5,1
43.30%,29.70%,1.Nf3 d5,1
48.20%,26.20%,1.Nf3 e6,1
39.90%,33.70%,1.Nf3 b6,1
36.80%,35.50%,1.d4 d5 2.Nf3 c5,2
36.70%,32.70%,1.Nf3 c5,1
50.70%,30.00%,1.Nf3 c6,1
52.40%,35.20%,1.Nf3 a6,1
39.50%,29.20%,1.Nf3 Nf6,1
44.10%,22.30%,1.Nf3 d6 2.d4 Bg4 3.c4 Nd7 4.Qb3 Rb8,4
38.30%,35.50%,1.Nf3 d6 2.e4 Bg4,2
