White Win %,Black Win %,Moves,Number of moves
39.40%,39.10%,1.e4 e6 2.d4 d5 3.e5,3
43.90%,32.10%,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.a3,6
41.60%,40.50%,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.Bd3,6
42.30%,41.40%,1.e4 e6 2.d4 d5 3.e5 c5 4.Qg4,4
44.00%,38.70%,1.e4 e6 2.d4 d5 3.e5 c5 4.Qg4 cxd4 5.Nf3,5
32.20%,51.20%,1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3,4
39.50%,38.10%,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3,5
36.80%,43.70%,1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3 cxd4 5.Bd3,5
45.50%,32.90%,1.e4 e6 2.d4 d5 3.Be3,3
48.90%,30.90%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4,6
45.70%,30.70%,1.e4 e6 2.Qe2,2
50.20%,25.30%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Nb5,7
33.90%,36.10%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.exd5,4
45.80%,32.80%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Qg4,7
42.00%,43.40%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.Bxf6 Bxf6 6.e5 Be7 7.Qg4,7
39.50%,39.50%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.Bxf6,5
51.20%,28.40%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Qd2,7
43.10%,35.80%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5,4
44.40%,27.00%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.f4,7
40.70%,37.30%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bd3,4
27.30%,37.00%,1.e4 e6 2.d4 d5 3.exd5,3
36.90%,35.90%,1.e4 e6 2.d4 d5 3.exd5 exd5 4.c4,4
31.30%,34.30%,1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nc3 Nf6 5.Bg5,5
39.50%,40.20%,1.e4 e6 2.b3,2
